file	ini	qual_ini	qual	time	lsTime	gen	opt
br17.atsp	1027	2533	0	0,04	0	1,57	30/30
ftv33.atsp	21632	1582	0	0,11	0,06	8,4	30/30
ftv35.atsp	25179	1609	0,02	0,30	0,17	29,3	25/30
ftv38.atsp	25251	1550	0,10	1,12	0,62	109,77	7/30
p43.atsp	75285	1239	0	0,50	0,31	35,57	29/30
ftv44.atsp	30632	1799	0,27	1	0,58	79,83	20/30
ftv47.atsp	31887	1695	0	0,21	0,13	10,77	30/30
ry48p.atsp	217988	1411	0,16	1,27	0,81	88,4	19/30
ft53.atsp	127808	1750	0	0,6	0,40	31,53	29/30
ftv55.atsp	32316	1909	0	0,40	0,22	19,47	30/30
ftv64.atsp	33575	1725	0	0,59	0,41	23,57	30/30
ft70.atsp	559169	1345	0,05	3,35	2,50	114,87	11/30
ftv70.atsp	49748	2451	0	1,28	0,89	47,4	30/30
ftv90.atsp	31395	1888	0,03	1,32	0,9	35,33	28/30
kro124p.atsp	611648	1588	0,12	2,61	1,95	55,1	28/30
ftv100.atsp	52985	2863	0,03	2,08	1,48	48,93	25/30
ftv110.atsp	38952	1889	0,12	5,24	3,95	102,5	17/30
ftv120.atsp	40721	1780	0,18	8,73	6,63	141,93	8/30
ftv130.atsp	42424	1738	0,04	5,82	4,59	86,43	25/30
ftv140.atsp	45093	1763	0,19	10,62	8,53	141,1	8/30
ftv150.atsp	47365	1714	0,03	7,99	6,46	91,53	28/30
ftv160.atsp	50591	1785	0,03	10,39	8,55	105,4	24/30
ftv170.atsp	54148	1865	0,19	15,36	12,67	136,67	14/30
rbg323.atsp	24651	1759	0	7,55	6,89	10,5	30/30
rbg358.atsp	23475	1918	0	13,28	12,37	15,23	30/30
rbg403.atsp	45067	1728	0	3,64	3,26	2,33	30/30
rbg443.atsp	51292	1785	0	4,48	4,01	2,17	30/30
	1802,26		0,06	4,07	3,31	58,36	23,89/30
