file	ini	qual_ini	qual	time	lsTime	gen	opt
br17.atsp	1076	2658	0	0,03	0	1,57	30/30
ftv33.atsp	21616	1580	0	0,1	0,05	7,3	30/30
ftv35.atsp	25138	1606	0,01	0,19	0,09	18,07	27/30
ftv38.atsp	25131	1542	0,13	1,03	0,5	120,17	1/30
p43.atsp	75319	1240	0	0,57	0,36	44,5	27/30
ftv44.atsp	30691	1802	0,40	0,99	0,5	91,17	15/30
ftv47.atsp	31876	1694	0	0,17	0,12	8,07	30/30
ry48p.atsp	218256	1413	0,28	1	0,57	84,43	14/30
ft53.atsp	127946	1752	0,01	0,64	0,42	38,03	27/30
ftv55.atsp	32286	1907	0	0,25	0,15	13,27	30/30
ftv64.atsp	33597	1726	0	0,64	0,45	25,8	30/30
ft70.atsp	558935	1345	0,04	2,95	1,99	114,23	11/30
ftv70.atsp	49749	2451	0	0,99	0,66	36,5	30/30
ftv90.atsp	31406	1888	0,02	1,21	0,8	33,4	28/30
kro124p.atsp	609597	1582	0,34	2,81	1,92	69,7	22/30
ftv100.atsp	52935	2860	0,06	2,25	1,46	54	23/30
ftv110.atsp	38881	1885	0,23	5,45	3,67	108,5	13/30
ftv120.atsp	40724	1780	0,16	8,07	5,90	135,23	13/30
ftv130.atsp	42483	1741	0,09	5,77	4,41	92,37	19/30
ftv140.atsp	45064	1762	0,1	8,32	6,65	112,7	18/30
ftv150.atsp	47405	1715	0	5,92	4,71	68,97	30/30
ftv160.atsp	50553	1784	0,07	11,03	8,90	117,8	16/30
ftv170.atsp	54197	1867	0,23	15,72	12,81	152,1	7/30
rbg323.atsp	24682	1761	0	9,20	8,46	12,9	30/30
rbg358.atsp	23426	1914	0	16,01	14,9	18,57	30/30
rbg403.atsp	45031	1726	0	3,80	3,43	2,4	30/30
rbg443.atsp	51244	1783	0	4,63	4,16	2,27	30/30
	1806,07		0,08	4,06	3,26	58,67	22,63/30
